Timestamp (ms),carriageXPosition,pendulumXAngle,xAngleError,xPWMp,xPWMi,xPWMd,xPWMout,xPWM,pendulumYAngle,xPositionError,angleXp,angleXi,angleXd,setAngleXOut
57383.021,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57393.141,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57402.179,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57412.183,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57422.736,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57433.021,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57442.186,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57452.178,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57462.178,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57472.186,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57483.021,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57493.021,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57503.029,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57513.021,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57522.178,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57533.022,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57542.182,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57553.021,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57562.731,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57572.175,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57583.021,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57592.175,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57603.029,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57613.021,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57622.19,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57633.021,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57643.021,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57652.179,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57663.033,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57673.021,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57683.021,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57693.021,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57703.021,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57712.175,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57723.021,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57733.021,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57742.182,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57753.021,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57763.029,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57772.564,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57783.021,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57793.021,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57802.175,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57813.021,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57822.195,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57832.24,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57842.179,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57853.021,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57863.021,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57873.021,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57882.187,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57892.127,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57902.179,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57912.19,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57923.021,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57932.178,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57941.008,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57953.021,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57962.186,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57973.021,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57982.186,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
57993.021,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
58002.178,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
58013.021,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
58022.615,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
58033.021,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
58042.178,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
58052.18,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
58063.021,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
58072.179,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
58082.127,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
58092.187,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
58102.466,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
58112.163,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
58122.799,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
58132.745,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
58142.179,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
58152.424,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
58162.174,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
58173.021,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
58182.175,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
58192.179,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
58202.196,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
58213.021,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
58222.179,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
58233.095,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
58243.029,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
58252.179,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
58262.178,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
58273.021,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
58282.191,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
58292.178,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
58303.024,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
58313.021,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
58323.021,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
58333.021,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
58342.993,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
58352.175,-2132.0,-662.0,-662.0,52.959999084472656,0.0,0.0,52.0,52.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
