Timestamp (ms),carriageXPosition,pendulumXAngle,xAngleError,xPWMp,xPWMi,xPWMd,xPWMout,xPWM,pendulumYAngle,xPositionError,angleXp,angleXi,angleXd,setAngleXOut
622547.343,3517.0,2021.0,2021.0,-202.10000610351562,-0.0,-0.6566325426101685,-202.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
622558.036,3517.0,2021.0,2021.0,-202.10000610351562,-0.0,-0.6566325426101685,-202.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
622568.602,3517.0,2021.0,2021.0,-202.10000610351562,-0.0,-0.6566325426101685,-202.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
622578.602,3517.0,2021.0,2021.0,-202.10000610351562,-0.0,-0.6566325426101685,-202.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
622588.603,3517.0,2021.0,2021.0,-202.10000610351562,-0.0,-0.6566325426101685,-202.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
622599.036,3517.0,2021.0,2021.0,-202.10000610351562,-0.0,-0.6566325426101685,-202.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
622609.978,3517.0,2021.0,2021.0,-202.10000610351562,-0.0,-0.6566325426101685,-202.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
622620.036,3517.0,2021.0,2021.0,-202.10000610351562,-0.0,-0.6566325426101685,-202.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
622631.113,3517.0,2021.0,2021.0,-202.10000610351562,-0.0,-0.6566325426101685,-202.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
622642.108,3517.0,2021.0,2021.0,-202.10000610351562,-0.0,-0.6566325426101685,-202.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
622652.248,3517.0,2021.0,2021.0,-202.10000610351562,-0.0,-0.6566325426101685,-202.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
622662.248,3517.0,2021.0,2021.0,-202.10000610351562,-0.0,-0.6566325426101685,-202.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
622672.249,3517.0,2021.0,2021.0,-202.10000610351562,-0.0,-0.6566325426101685,-202.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
622682.397,3517.0,2021.0,2021.0,-202.10000610351562,-0.0,-0.6566325426101685,-202.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
622692.398,3517.0,2021.0,2021.0,-202.10000610351562,-0.0,-0.6566325426101685,-202.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
622703.109,3517.0,2021.0,2021.0,-202.10000610351562,-0.0,-0.6566325426101685,-202.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
622714.112,3517.0,2021.0,2021.0,-202.10000610351562,-0.0,-0.6566325426101685,-202.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
622724.446,3517.0,2021.0,2021.0,-202.10000610351562,-0.0,-0.6566325426101685,-202.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
622734.449,3517.0,2021.0,2021.0,-202.10000610351562,-0.0,-0.6566325426101685,-202.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
622744.449,3517.0,2021.0,2021.0,-202.10000610351562,-0.0,-0.6566325426101685,-202.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
622755.109,3517.0,2021.0,2021.0,-202.10000610351562,-0.0,-0.6566325426101685,-202.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
622766.113,3517.0,2021.0,2021.0,-202.10000610351562,-0.0,-0.6566325426101685,-202.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
622776.114,3517.0,2021.0,2021.0,-202.10000610351562,-0.0,-0.6566325426101685,-202.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
622786.115,3517.0,2021.0,2021.0,-202.10000610351562,-0.0,-0.6566325426101685,-202.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
622797.109,3517.0,2021.0,2021.0,-202.10000610351562,-0.0,-0.6566325426101685,-202.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
622808.109,3517.0,2021.0,2021.0,-202.10000610351562,-0.0,-0.6566325426101685,-202.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
622819.113,3517.0,2021.0,2021.0,-202.10000610351562,-0.0,-0.6566325426101685,-202.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
622830.108,3517.0,2021.0,2021.0,-202.10000610351562,-0.0,-0.6566325426101685,-202.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
622840.109,3517.0,2021.0,2021.0,-202.10000610351562,-0.0,-0.6566325426101685,-202.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
622850.449,3517.0,2021.0,2021.0,-202.10000610351562,-0.0,-0.6566325426101685,-202.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
622860.449,3517.0,2021.0,2021.0,-202.10000610351562,-0.0,-0.6566325426101685,-202.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
622870.45,3517.0,2021.0,2021.0,-202.10000610351562,-0.0,-0.6566325426101685,-202.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
622881.113,3517.0,2021.0,2021.0,-202.10000610351562,-0.0,-0.6566325426101685,-202.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
622891.798,3517.0,2021.0,2021.0,-202.10000610351562,-0.0,-0.6566325426101685,-202.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
622902.113,3517.0,2021.0,2021.0,-202.10000610351562,-0.0,-0.6566325426101685,-202.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
622912.114,3517.0,2021.0,2021.0,-202.10000610351562,-0.0,-0.6566325426101685,-202.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
622922.115,3517.0,2021.0,2021.0,-202.10000610351562,-0.0,-0.6566325426101685,-202.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
622932.115,3517.0,2021.0,2021.0,-202.10000610351562,-0.0,-0.6566325426101685,-202.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
622943.113,3517.0,2021.0,2021.0,-202.10000610351562,-0.0,-0.6566325426101685,-202.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
622953.706,3517.0,2021.0,2021.0,-202.10000610351562,-0.0,-0.6566325426101685,-202.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
622963.707,3517.0,2021.0,2021.0,-202.10000610351562,-0.0,-0.6566325426101685,-202.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
622974.108,3517.0,2021.0,2021.0,-202.10000610351562,-0.0,-0.6566325426101685,-202.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
622984.11,3517.0,2021.0,2021.0,-202.10000610351562,-0.0,-0.6566325426101685,-202.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
622994.11,3517.0,2021.0,2021.0,-202.10000610351562,-0.0,-0.6566325426101685,-202.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
623004.111,3517.0,2021.0,2021.0,-202.10000610351562,-0.0,-0.6566325426101685,-202.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
623014.322,3517.0,2021.0,2021.0,-202.10000610351562,-0.0,-0.6566325426101685,-202.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
623025.104,3517.0,2021.0,2021.0,-202.10000610351562,-0.0,-0.6566325426101685,-202.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
623035.105,3517.0,2021.0,2021.0,-202.10000610351562,-0.0,-0.6566325426101685,-202.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
623045.106,3517.0,2021.0,2021.0,-202.10000610351562,-0.0,-0.6566325426101685,-202.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
623055.107,3517.0,2021.0,2021.0,-202.10000610351562,-0.0,-0.6566325426101685,-202.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
623065.108,3517.0,2021.0,2021.0,-202.10000610351562,-0.0,-0.6566325426101685,-202.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
623075.108,3517.0,2021.0,2021.0,-202.10000610351562,-0.0,-0.6566325426101685,-202.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
623086.105,3517.0,2021.0,2021.0,-202.10000610351562,-0.0,-0.6566325426101685,-202.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
623096.106,3517.0,2021.0,2021.0,-202.10000610351562,-0.0,-0.6566325426101685,-202.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
623107.109,3517.0,2021.0,2021.0,-202.10000610351562,-0.0,-0.6566325426101685,-202.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
