Timestamp (ms),carriageXPosition,pendulumXAngle,xAngleError,xPWMp,xPWMi,xPWMd,xPWMout,xPWM,pendulumYAngle,xPositionError,angleXp,angleXi,angleXd,setAngleXOut
321565.735,0.0,-1.0,378.0,-211.6800079345703,-0.0,0.0,-211.0,-211.0,-2.0,0.0,-14.982000350952148,-0.0,-3.350904703140259,-18.0
321575.735,0.0,-1.0,378.0,-211.6800079345703,-0.0,0.0,-211.0,-211.0,-1.0,0.0,-14.982000350952148,-0.0,-3.350904703140259,-18.0
321585.734,0.0,0.0,378.0,-211.6800079345703,-0.0,0.0,-211.0,-211.0,0.0,0.0,-14.982000350952148,-0.0,-3.350904703140259,-18.0
321595.735,0.0,-3.0,378.0,-211.6800079345703,-0.0,0.0,-211.0,-211.0,-1.0,0.0,-14.982000350952148,-0.0,-3.350904703140259,-18.0
321605.734,0.0,-2.0,378.0,-211.6800079345703,-0.0,0.0,-211.0,-211.0,-1.0,0.0,-14.982000350952148,-0.0,-3.350904703140259,-18.0
321615.734,0.0,1.0,378.0,-211.6800079345703,-0.0,0.0,-211.0,-211.0,0.0,0.0,-14.982000350952148,-0.0,-3.350904703140259,-18.0
321625.735,0.0,1.0,378.0,-211.6800079345703,-0.0,0.0,-211.0,-211.0,-2.0,0.0,-14.982000350952148,-0.0,-3.350904703140259,-18.0
321635.735,0.0,1.0,378.0,-211.6800079345703,-0.0,0.0,-211.0,-211.0,0.0,0.0,-14.982000350952148,-0.0,-3.350904703140259,-18.0
321645.734,0.0,-1.0,378.0,-211.6800079345703,-0.0,0.0,-211.0,-211.0,-3.0,0.0,-14.982000350952148,-0.0,-3.350904703140259,-18.0
321655.735,0.0,2.0,378.0,-211.6800079345703,-0.0,0.0,-211.0,-211.0,-2.0,0.0,-14.982000350952148,-0.0,-3.350904703140259,-18.0
321665.735,0.0,0.0,378.0,-211.6800079345703,-0.0,0.0,-211.0,-211.0,-2.0,0.0,-14.982000350952148,-0.0,-3.350904703140259,-18.0
321675.735,0.0,3.0,378.0,-211.6800079345703,-0.0,0.0,-211.0,-211.0,-4.0,0.0,-14.982000350952148,-0.0,-3.350904703140259,-18.0
321685.735,0.0,-1.0,378.0,-211.6800079345703,-0.0,0.0,-211.0,-211.0,1.0,0.0,-14.982000350952148,-0.0,-3.350904703140259,-18.0
321695.734,0.0,1.0,378.0,-211.6800079345703,-0.0,0.0,-211.0,-211.0,-1.0,0.0,-14.982000350952148,-0.0,-3.350904703140259,-18.0
321705.735,0.0,1.0,378.0,-211.6800079345703,-0.0,0.0,-211.0,-211.0,-1.0,0.0,-14.982000350952148,-0.0,-3.350904703140259,-18.0
321715.735,0.0,-2.0,378.0,-211.6800079345703,-0.0,0.0,-211.0,-211.0,-2.0,0.0,-14.982000350952148,-0.0,-3.350904703140259,-18.0
321725.734,0.0,-1.0,378.0,-211.6800079345703,-0.0,0.0,-211.0,-211.0,-2.0,0.0,-14.982000350952148,-0.0,-3.350904703140259,-18.0
321735.734,0.0,-1.0,378.0,-211.6800079345703,-0.0,0.0,-211.0,-211.0,0.0,0.0,-14.982000350952148,-0.0,-3.350904703140259,-18.0
321745.734,0.0,0.0,378.0,-211.6800079345703,-0.0,0.0,-211.0,-211.0,1.0,0.0,-14.982000350952148,-0.0,-3.350904703140259,-18.0
321755.735,0.0,-2.0,378.0,-211.6800079345703,-0.0,0.0,-211.0,-211.0,-2.0,0.0,-14.982000350952148,-0.0,-3.350904703140259,-18.0
321765.735,0.0,0.0,378.0,-211.6800079345703,-0.0,0.0,-211.0,-211.0,-1.0,0.0,-14.982000350952148,-0.0,-3.350904703140259,-18.0
321775.734,0.0,1.0,378.0,-211.6800079345703,-0.0,0.0,-211.0,-211.0,-5.0,0.0,-14.982000350952148,-0.0,-3.350904703140259,-18.0
321785.735,0.0,-1.0,378.0,-211.6800079345703,-0.0,0.0,-211.0,-211.0,-4.0,0.0,-14.982000350952148,-0.0,-3.350904703140259,-18.0
321795.735,0.0,-2.0,378.0,-211.6800079345703,-0.0,0.0,-211.0,-211.0,0.0,0.0,-14.982000350952148,-0.0,-3.350904703140259,-18.0
321805.735,0.0,0.0,378.0,-211.6800079345703,-0.0,0.0,-211.0,-211.0,0.0,0.0,-14.982000350952148,-0.0,-3.350904703140259,-18.0
