Timestamp (ms),carriageXPosition,pendulumXAngle,xAngleError,xPWMp,xPWMi,xPWMd,xPWMout,xPWM,pendulumYAngle,xPositionError,angleXp,angleXi,angleXd,setAngleXOut
1668879.735,403.0,5.0,-7.0,3.9200000762939453,0.20180267095565796,0.0,4.0,10.0,-2.0,0.0,-0.0,-0.0,0.0,0.0
1668881.735,403.0,7.0,-7.0,3.9200000762939453,0.20180267095565796,0.0,4.0,10.0,0.0,0.0,-0.0,-0.0,0.0,0.0
1668883.735,403.0,7.0,-7.0,3.9200000762939453,0.20180267095565796,0.0,4.0,10.0,-3.0,0.0,-0.0,-0.0,0.0,0.0
1668885.734,403.0,7.0,-7.0,3.9200000762939453,0.20180267095565796,0.0,4.0,10.0,-1.0,0.0,-0.0,-0.0,0.0,0.0
1668887.992,404.0,8.0,-7.0,3.9200000762939453,0.20180267095565796,0.0,4.0,10.0,-2.0,0.0,-0.0,-0.0,0.0,0.0
1668889.735,403.0,5.0,-7.0,3.9200000762939453,0.20180267095565796,0.0,4.0,10.0,0.0,0.0,-0.0,-0.0,0.0,0.0
1668891.734,404.0,9.0,-7.0,3.9200000762939453,0.20180267095565796,0.0,4.0,10.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
1668893.735,404.0,6.0,-7.0,3.9200000762939453,0.20180267095565796,0.0,4.0,10.0,2.0,0.0,-0.0,-0.0,0.0,0.0
1668895.734,404.0,6.0,-7.0,3.9200000762939453,0.20180267095565796,0.0,4.0,10.0,0.0,0.0,-0.0,-0.0,0.0,0.0
1668897.826,403.0,7.0,-7.0,3.9200000762939453,0.20180267095565796,0.0,4.0,10.0,-1.0,0.0,-0.0,-0.0,0.0,0.0
1668899.734,403.0,9.0,-7.0,3.9200000762939453,0.20180267095565796,0.0,4.0,10.0,-1.0,0.0,-0.0,-0.0,0.0,0.0
1668901.735,403.0,8.0,-7.0,3.9200000762939453,0.20180267095565796,0.0,4.0,10.0,-2.0,0.0,-0.0,-0.0,0.0,0.0
1668903.735,404.0,8.0,-7.0,3.9200000762939453,0.20180267095565796,0.0,4.0,10.0,-3.0,0.0,-0.0,-0.0,0.0,0.0
1668905.735,403.0,7.0,-7.0,3.9200000762939453,0.20180267095565796,0.0,4.0,10.0,-2.0,0.0,-0.0,-0.0,0.0,0.0
1668907.826,403.0,7.0,-7.0,3.9200000762939453,0.20180267095565796,0.0,4.0,10.0,-1.0,0.0,-0.0,-0.0,0.0,0.0
1668909.735,403.0,8.0,-7.0,3.9200000762939453,0.20180267095565796,0.0,4.0,10.0,-2.0,0.0,-0.0,-0.0,0.0,0.0
1668911.735,403.0,8.0,-7.0,3.9200000762939453,0.20180267095565796,0.0,4.0,10.0,0.0,0.0,-0.0,-0.0,0.0,0.0
1668913.734,404.0,6.0,-7.0,3.9200000762939453,0.20180267095565796,0.0,4.0,10.0,0.0,0.0,-0.0,-0.0,0.0,0.0
1668915.735,403.0,4.0,-7.0,3.9200000762939453,0.20180267095565796,0.0,4.0,10.0,-2.0,0.0,-0.0,-0.0,0.0,0.0
1668917.826,403.0,6.0,-7.0,3.9200000762939453,0.20180267095565796,0.0,4.0,10.0,-4.0,0.0,-0.0,-0.0,0.0,0.0
1668919.735,403.0,6.0,-7.0,3.9200000762939453,0.20180267095565796,0.0,4.0,10.0,-2.0,0.0,-0.0,-0.0,0.0,0.0
