Timestamp (ms),carriageXPosition,pendulumXAngle,xAngleError,xPWMp,xPWMi,xPWMd,xPWMout,xPWM,pendulumYAngle,xPositionError,angleXp,angleXi,angleXd,setAngleXOut
3595060.844,0.0,-2.0,-2.0,0.9599999785423279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3595071.751,0.0,-3.0,-3.0,1.4399999380111694,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
3595080.844,0.0,-3.0,-3.0,1.4399999380111694,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
3595091.75,0.0,-6.0,-6.0,2.879999876022339,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
3595100.843,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3595111.75,0.0,-2.0,-2.0,0.9599999785423279,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
3595121.751,0.0,-2.0,-2.0,0.9599999785423279,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0
3595130.842,0.0,-1.0,-1.0,0.47999998927116394,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0
3595141.75,0.0,-4.0,-4.0,1.9199999570846558,0.0,0.0,1.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0
3595150.842,0.0,-2.0,-3.0,1.4399999380111694,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
3595159.751,0.0,-3.0,-2.0,0.9599999785423279,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0
3595168.751,0.0,-4.0,-4.0,1.9199999570846558,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
3595180.842,0.0,-3.0,-3.0,1.4399999380111694,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
3595188.75,0.0,0.0,-1.0,0.47999998927116394,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3595201.75,0.0,-2.0,-2.0,0.9599999785423279,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3595211.751,0.0,-2.0,-2.0,0.9599999785423279,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0
3595221.751,0.0,-3.0,-3.0,1.4399999380111694,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
3595230.844,0.0,0.0,-3.0,1.4399999380111694,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
3595236.751,0.0,1.0,1.0,-0.47999998927116394,-0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0
3595250.843,0.0,-2.0,-3.0,1.4399999380111694,0.0,0.0,1.0,3.0,-3.0,0.0,0.0,0.0,0.0,0.0
3595261.75,0.0,-2.0,-2.0,0.9599999785423279,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
3595270.842,0.0,-4.0,-1.0,0.47999998927116394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3595281.75,0.0,-2.0,-2.0,0.9599999785423279,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0
3595291.75,0.0,-4.0,-2.0,0.9599999785423279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3595299.751,0.0,-2.0,-2.0,0.9599999785423279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3595310.843,0.0,-2.0,-5.0,2.3999998569488525,0.0,0.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0
3595321.75,0.0,-5.0,-5.0,2.3999998569488525,0.0,0.0,2.0,6.0,-2.0,0.0,0.0,0.0,0.0,0.0
3595330.842,0.0,-4.0,-2.0,0.9599999785423279,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
3595341.75,0.0,-2.0,-2.0,0.9599999785423279,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3595350.842,0.0,-3.0,-2.0,0.9599999785423279,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0
3595361.75,0.0,-3.0,-5.0,2.3999998569488525,0.0,0.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
3595370.841,0.0,-1.0,-2.0,0.9599999785423279,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
3595380.844,0.0,-1.0,-1.0,0.47999998927116394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3595391.75,0.0,-4.0,-4.0,1.9199999570846558,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
3595400.841,0.0,-2.0,-2.0,0.9599999785423279,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0
3595411.75,0.0,-2.0,-2.0,0.9599999785423279,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0
3595421.751,0.0,-3.0,-3.0,1.4399999380111694,0.0,0.0,1.0,3.0,-2.0,0.0,0.0,0.0,0.0,0.0
3595430.841,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0
3595440.844,0.0,-1.0,-2.0,0.9599999785423279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3595448.751,0.0,-4.0,-4.0,1.9199999570846558,0.0,0.0,1.0,3.0,-2.0,0.0,0.0,0.0,0.0,0.0
3595461.751,0.0,-2.0,-2.0,0.9599999785423279,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
3595470.844,0.0,-3.0,-2.0,0.9599999785423279,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0
3595479.75,0.0,-2.0,-2.0,0.9599999785423279,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0
3595490.844,0.0,-2.0,-3.0,1.4399999380111694,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
3595501.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
3595510.842,0.0,-3.0,-2.0,0.9599999785423279,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0
3595521.75,0.0,-2.0,-2.0,0.9599999785423279,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
3595529.751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
3595540.843,0.0,0.0,-1.0,0.47999998927116394,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
3595549.751,0.0,0.0,-1.0,0.47999998927116394,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
3595560.843,0.0,-1.0,-2.0,0.9599999785423279,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
3595571.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
3595580.842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
3595590.848,0.0,1.0,1.0,-0.47999998927116394,-0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
3595601.751,0.0,-1.0,-1.0,0.47999998927116394,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
3595608.751,0.0,3.0,-1.0,0.47999998927116394,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
3595621.75,0.0,1.0,1.0,-0.47999998927116394,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3595629.751,0.0,-1.0,-2.0,0.9599999785423279,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
3595640.843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
3595651.75,0.0,-2.0,-2.0,0.9599999785423279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3595660.841,0.0,-1.0,2.0,-0.9599999785423279,-0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
3595671.751,0.0,-2.0,2.0,-0.9599999785423279,-0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
3595680.841,0.0,3.0,2.0,-0.9599999785423279,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3595691.75,0.0,-1.0,-1.0,0.47999998927116394,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
3595695.751,0.0,-1.0,2.0,-0.9599999785423279,-0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
3595711.75,0.0,-2.0,-2.0,0.9599999785423279,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
3595720.841,0.0,-1.0,-1.0,0.47999998927116394,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
3595731.75,0.0,-1.0,-1.0,0.47999998927116394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3595741.751,0.0,-1.0,-2.0,0.9599999785423279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3595750.841,0.0,1.0,1.0,-0.47999998927116394,-0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
3595761.75,0.0,-2.0,-2.0,0.9599999785423279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3595765.751,0.0,-1.0,-1.0,0.47999998927116394,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
3595781.75,0.0,1.0,1.0,-0.47999998927116394,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3595790.841,0.0,-1.0,-2.0,0.9599999785423279,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
3595800.842,0.0,-2.0,-1.0,0.47999998927116394,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
3595810.844,0.0,-1.0,-2.0,0.9599999785423279,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
3595821.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
3595830.841,0.0,-2.0,-2.0,0.9599999785423279,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
3595840.844,0.0,-1.0,-2.0,0.9599999785423279,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
3595851.75,0.0,-1.0,-1.0,0.47999998927116394,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3595860.843,0.0,-1.0,-2.0,0.9599999785423279,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
3595870.841,0.0,-1.0,-1.0,0.47999998927116394,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
3595880.843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
3595891.75,0.0,-3.0,-3.0,1.4399999380111694,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
3595901.75,0.0,-2.0,-2.0,0.9599999785423279,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3595910.842,0.0,0.0,2.0,-0.9599999785423279,-0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
3595920.843,0.0,-2.0,3.0,-1.4399999380111694,-0.0,0.0,-1.0,-3.0,4.0,0.0,0.0,0.0,0.0,0.0
3595922.751,0.0,-3.0,-3.0,1.4399999380111694,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
3595940.841,0.0,0.0,-2.0,0.9599999785423279,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
3595951.75,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
3595961.751,0.0,0.0,-2.0,0.9599999785423279,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
3595970.842,0.0,-1.0,-1.0,0.47999998927116394,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
3595981.75,0.0,-2.0,1.0,-0.47999998927116394,-0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
3595991.75,0.0,2.0,-2.0,0.9599999785423279,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
3596000.85,0.0,2.0,-2.0,0.9599999785423279,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
3596006.751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3596020.842,0.0,1.0,-1.0,0.47999998927116394,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
3596030.842,0.0,0.0,-1.0,0.47999998927116394,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
3596041.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
3596050.842,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
3596056.75,0.0,-1.0,-1.0,0.47999998927116394,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
3596067.751,0.0,-2.0,-1.0,0.47999998927116394,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
3596081.75,0.0,-1.0,1.0,-0.47999998927116394,-0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
3596091.751,0.0,-1.0,1.0,-0.47999998927116394,-0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
3596100.842,0.0,-1.0,-1.0,0.47999998927116394,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
3596111.75,0.0,-2.0,-2.0,0.9599999785423279,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
3596119.75,0.0,-1.0,-1.0,0.47999998927116394,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
3596131.751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
3596140.841,0.0,0.0,-1.0,0.47999998927116394,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
3596150.844,0.0,-2.0,-2.0,0.9599999785423279,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
3596161.751,0.0,-2.0,1.0,-0.47999998927116394,-0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
3596170.841,0.0,-1.0,1.0,-0.47999998927116394,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3596180.844,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
3596191.751,0.0,2.0,-1.0,0.47999998927116394,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
3596200.842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3596211.75,0.0,-1.0,-1.0,0.47999998927116394,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3596220.841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
3596231.75,0.0,-2.0,-1.0,0.47999998927116394,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3596241.75,0.0,-1.0,-1.0,0.47999998927116394,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
3596251.75,0.0,0.0,2.0,-0.9599999785423279,-0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
3596259.751,0.0,-1.0,-1.0,0.47999998927116394,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3596270.843,0.0,0.0,-1.0,0.47999998927116394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3596281.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
3596290.841,0.0,-1.0,1.0,-0.47999998927116394,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3596300.841,0.0,-1.0,-1.0,0.47999998927116394,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
3596311.75,0.0,2.0,2.0,-0.9599999785423279,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3596320.843,0.0,-5.0,-1.0,0.47999998927116394,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
3596331.75,0.0,1.0,1.0,-0.47999998927116394,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3596340.841,0.0,-2.0,-1.0,0.47999998927116394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3596350.843,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
3596361.751,0.0,-1.0,-1.0,0.47999998927116394,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3596370.841,0.0,-2.0,-2.0,0.9599999785423279,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3596380.841,0.0,-2.0,-1.0,0.47999998927116394,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
3596386.751,0.0,2.0,2.0,-0.9599999785423279,-0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
3596400.842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
3596411.75,0.0,-5.0,-2.0,0.9599999785423279,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3596421.751,0.0,-2.0,-2.0,0.9599999785423279,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
3596430.843,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
3596439.75,0.0,-3.0,-3.0,1.4399999380111694,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
3596450.841,0.0,-2.0,-2.0,0.9599999785423279,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
3596461.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
3596471.751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
