Timestamp (ms),carriageXPosition,pendulumXAngle,xAngleError,xPWMp,xPWMi,xPWMd,xPWMout,xPWM,pendulumYAngle,xPositionError,angleXp,angleXi,angleXd,setAngleXOut
925931.01,2351.0,19.0,19.0,-6.650000095367432,0.0,0.0,-6.0,-6.0,1.0,2351.0,0.0,0.0,0.0,0.0
925939.01,2349.0,19.0,19.0,-6.650000095367432,0.0,0.0,-6.0,-6.0,1.0,2349.0,0.0,0.0,0.0,0.0
925951.009,2346.0,19.0,19.0,-6.650000095367432,0.0,0.0,-6.0,-6.0,0.0,2346.0,0.0,0.0,0.0,0.0
925961.009,2344.0,21.0,21.0,-7.349999904632568,0.0,0.0,-7.0,-7.0,0.0,2344.0,0.0,0.0,0.0,0.0
925971.01,2337.0,21.0,21.0,-7.349999904632568,0.0,0.0,-7.0,-7.0,2.0,2337.0,0.0,0.0,0.0,0.0
925979.009,2329.0,19.0,19.0,-6.650000095367432,0.0,0.0,-6.0,-6.0,-1.0,2329.0,0.0,0.0,0.0,0.0
925989.01,2322.0,15.0,15.0,-5.25,0.0,0.0,-5.0,-5.0,2.0,2322.0,0.0,0.0,0.0,0.0
926001.009,2314.0,16.0,16.0,-5.599999904632568,0.0,0.0,-5.0,-5.0,0.0,2314.0,0.0,0.0,0.0,0.0
926011.009,2306.0,14.0,15.0,-5.25,0.0,0.0,-5.0,-5.0,3.0,2306.0,0.0,0.0,0.0,0.0
926021.01,2299.0,14.0,14.0,-4.900000095367432,0.0,0.0,-4.0,-4.0,3.0,2299.0,0.0,0.0,0.0,0.0
926029.01,2295.0,15.0,15.0,-5.25,0.0,0.0,-5.0,-5.0,2.0,2295.0,0.0,0.0,0.0,0.0
926041.009,2290.0,13.0,13.0,-4.549999713897705,0.0,0.0,-4.0,-4.0,0.0,2290.0,0.0,0.0,0.0,0.0
926051.009,2285.0,15.0,15.0,-5.25,0.0,0.0,-5.0,-5.0,3.0,2285.0,0.0,0.0,0.0,0.0
926061.009,2281.0,17.0,17.0,-5.949999809265137,0.0,0.0,-5.0,-5.0,0.0,2281.0,0.0,0.0,0.0,0.0
926071.01,2277.0,22.0,22.0,-7.699999809265137,0.0,0.0,-7.0,-7.0,0.0,2277.0,0.0,0.0,0.0,0.0
926079.01,2274.0,23.0,23.0,-8.050000190734863,0.0,0.0,-8.0,-8.0,1.0,2274.0,0.0,0.0,0.0,0.0
926091.009,2268.0,26.0,26.0,-9.09999942779541,0.0,0.0,-9.0,-9.0,2.0,2268.0,0.0,0.0,0.0,0.0
926101.009,2260.0,25.0,25.0,-8.75,0.0,0.0,-8.0,-8.0,3.0,2260.0,0.0,0.0,0.0,0.0
926111.009,2250.0,25.0,24.0,-8.399999618530273,0.0,0.0,-8.0,-8.0,0.0,2250.0,0.0,0.0,0.0,0.0
926121.01,2236.0,20.0,20.0,-7.0,0.0,0.0,-7.0,-7.0,1.0,2236.0,0.0,0.0,0.0,0.0
926129.01,2226.0,17.0,17.0,-5.949999809265137,0.0,0.0,-5.0,-5.0,5.0,2226.0,0.0,0.0,0.0,0.0
926141.009,2214.0,17.0,17.0,-5.949999809265137,0.0,0.0,-5.0,-5.0,2.0,2214.0,0.0,0.0,0.0,0.0
926151.009,2204.0,18.0,15.0,-5.25,0.0,0.0,-5.0,-5.0,2.0,2204.0,0.0,0.0,0.0,0.0
926161.01,2195.0,19.0,19.0,-6.650000095367432,0.0,0.0,-6.0,-6.0,1.0,2195.0,0.0,0.0,0.0,0.0
