Timestamp (ms),carriageXPosition,pendulumXAngle,xAngleError,xPWMp,xPWMi,xPWMd,xPWMout,xPWM,pendulumYAngle,xPositionError,angleXp,angleXi,angleXd,setAngleXOut
3309116.681,-694.0,-16.0,18.0,-10.800000190734863,0.0,-1.357258677482605,-12.0,-12.0,-1.0,-693.0,-27.719999313354492,0.0,-5.856310844421387,-33.0
3309126.682,-707.0,-21.0,16.0,-9.600000381469727,0.0,2.5077335834503174,-7.0,-7.0,0.0,-707.0,-28.279998779296875,0.0,-9.147285461425781,-37.0
3309136.681,-726.0,-23.0,16.0,-9.600000381469727,0.0,1.9916468858718872,-7.0,-7.0,-1.0,-725.0,-29.0,0.0,-12.691803932189941,-41.0
3309146.682,-744.0,-32.0,16.0,-9.600000381469727,0.0,-1.616084337234497,-11.0,-11.0,0.0,-744.0,-29.760000228881836,0.0,-15.256766319274902,-45.0
3309156.683,-760.0,-36.0,8.0,-4.800000190734863,0.0,3.4820053577423096,-1.0,-1.0,1.0,-760.0,-30.399999618530273,0.0,-15.595125198364258,-45.0
3309166.681,-769.0,-36.0,4.0,-2.4000000953674316,0.0,3.4969229698181152,1.0,1.0,1.0,-769.0,-30.760000228881836,0.0,-12.850007057189941,-43.0
3309176.682,-772.0,-37.0,3.0,-1.8000000715255737,0.0,1.6839181184768677,0.0,0.0,-5.0,-772.0,-30.8799991607666,0.0,-8.765318870544434,-39.0
3309186.681,-773.0,-29.0,6.0,-3.6000001430511475,0.0,-0.23630058765411377,-3.0,-3.0,0.0,-773.0,-30.920000076293945,0.0,-5.69936990737915,-36.0
3309196.684,-774.0,-26.0,9.0,-5.400000095367432,0.0,0.3474809527397156,-5.0,-5.0,4.0,-774.0,-30.959999084472656,0.0,-3.887423038482666,-34.0
3309206.681,-778.0,-25.0,13.0,-7.800000190734863,0.0,-0.6705679297447205,-8.0,-8.0,2.0,-778.0,-31.119998931884766,0.0,-3.9582457542419434,-35.0
3309216.684,-786.0,-21.0,17.0,-10.200000762939453,0.0,-2.955794095993042,-13.0,-13.0,3.0,-786.0,-31.439998626708984,0.0,-5.599618434906006,-37.0
3309226.682,-797.0,-23.0,16.0,-9.600000381469727,0.0,-1.0168870687484741,-10.0,-10.0,-1.0,-797.0,-31.8799991607666,0.0,-7.828060626983643,-39.0
3309236.681,-811.0,-27.0,12.0,-7.200000286102295,0.0,4.292238235473633,-2.0,-2.0,0.0,-811.0,-32.439998626708984,0.0,-10.42868709564209,-42.0
3309246.684,-826.0,-29.0,14.0,-8.40000057220459,0.0,0.6412296295166016,-7.0,-7.0,-3.0,-826.0,-33.040000915527344,0.0,-12.259103775024414,-45.0
3309256.681,-839.0,-33.0,13.0,-7.800000190734863,0.0,-1.3226368427276611,-9.0,-9.0,-2.0,-838.0,-33.52000045776367,0.0,-11.965741157531738,-45.0
3309266.682,-849.0,-41.0,4.0,-2.4000000953674316,0.0,4.455978870391846,2.0,2.0,0.0,-849.0,-33.959999084472656,0.0,-11.526130676269531,-45.0
3309276.681,-856.0,-36.0,5.0,-3.0,0.0,2.0159013271331787,0.0,0.0,0.0,-855.0,-34.20000076293945,0.0,-9.30724048614502,-43.0
3309286.681,-857.0,-32.0,9.0,-5.400000095367432,0.0,-2.205026865005493,-7.0,-7.0,1.0,-857.0,-34.279998779296875,0.0,-6.338962554931641,-40.0
3309296.682,-858.0,-25.0,11.0,-6.600000381469727,0.0,-2.8641843795776367,-9.0,-9.0,0.0,-858.0,-34.31999969482422,0.0,-4.2026238441467285,-38.0
3309306.681,-862.0,-27.0,16.0,-9.600000381469727,0.0,-4.401821613311768,-14.0,-14.0,1.0,-861.0,-34.439998626708984,0.0,-3.8068437576293945,-38.0
3309316.684,-869.0,-24.0,16.0,-9.600000381469727,0.0,-1.0215826034545898,-10.0,-10.0,1.0,-869.0,-34.7599983215332,0.0,-5.592671871185303,-40.0
3309326.681,-881.0,-30.0,14.0,-8.40000057220459,0.0,0.6524913907051086,-7.0,-7.0,2.0,-881.0,-35.23999786376953,0.0,-8.264857292175293,-43.0
3309336.684,-894.0,-33.0,13.0,-7.800000190734863,0.0,-0.25349393486976624,-8.0,-8.0,-1.0,-894.0,-35.7599983215332,0.0,-10.192527770996094,-45.0
