Timestamp (ms),carriageXPosition,pendulumXAngle,xAngleError,xPWMp,xPWMi,xPWMd,xPWMout,xPWM,pendulumYAngle,xPositionError,angleXp,angleXi,angleXd,setAngleXOut
378270.906,0.0,-1913.0,1921.0,-1152.60009765625,0.0,0.0,-1153.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
378272.886,0.0,-1912.0,1921.0,-1152.60009765625,0.0,0.0,-1153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
378274.886,0.0,-1913.0,1921.0,-1152.60009765625,0.0,0.0,-1153.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
378276.886,0.0,-1911.0,1921.0,-1152.60009765625,0.0,0.0,-1153.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
378278.887,0.0,-1915.0,1921.0,-1152.60009765625,0.0,0.0,-1153.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
378281.149,0.0,-1913.0,1921.0,-1152.60009765625,0.0,0.0,-1153.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
378282.886,0.0,-1912.0,1921.0,-1152.60009765625,0.0,0.0,-1153.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
378284.886,0.0,-1914.0,1921.0,-1152.60009765625,0.0,0.0,-1153.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
378286.887,0.0,-1913.0,1921.0,-1152.60009765625,0.0,0.0,-1153.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
378288.886,0.0,-1912.0,1921.0,-1152.60009765625,0.0,0.0,-1153.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
378290.98,0.0,-1915.0,1921.0,-1152.60009765625,0.0,0.0,-1153.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
378292.886,0.0,-1914.0,1921.0,-1152.60009765625,0.0,0.0,-1153.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
378294.886,0.0,-1911.0,1921.0,-1152.60009765625,0.0,0.0,-1153.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
378296.887,0.0,-1909.0,1921.0,-1152.60009765625,0.0,0.0,-1153.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
378298.886,0.0,-1912.0,1921.0,-1152.60009765625,0.0,0.0,-1153.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
378300.98,0.0,-1915.0,1921.0,-1152.60009765625,0.0,0.0,-1153.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
378302.886,0.0,-1912.0,1921.0,-1152.60009765625,0.0,0.0,-1153.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
378304.887,0.0,-1913.0,1921.0,-1152.60009765625,0.0,0.0,-1153.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
378306.886,0.0,-1912.0,1921.0,-1152.60009765625,0.0,0.0,-1153.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
378308.886,0.0,-1913.0,1921.0,-1152.60009765625,0.0,0.0,-1153.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
378310.982,0.0,-1911.0,1921.0,-1152.60009765625,0.0,0.0,-1153.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
378312.886,0.0,-1912.0,1921.0,-1152.60009765625,0.0,0.0,-1153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
378314.886,0.0,-1911.0,1921.0,-1152.60009765625,0.0,0.0,-1153.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
378316.886,0.0,-1913.0,1921.0,-1152.60009765625,0.0,0.0,-1153.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
378318.886,0.0,-1912.0,1921.0,-1152.60009765625,0.0,0.0,-1153.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
378320.98,0.0,-1915.0,1921.0,-1152.60009765625,0.0,0.0,-1153.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
378322.886,0.0,-1912.0,1921.0,-1152.60009765625,0.0,0.0,-1153.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
378324.886,0.0,-1913.0,1921.0,-1152.60009765625,0.0,0.0,-1153.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
378326.887,0.0,-1914.0,1921.0,-1152.60009765625,0.0,0.0,-1153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
