Timestamp (ms),carriageXPosition,pendulumXAngle,xAngleError,xPWMp,xPWMi,xPWMd,xPWMout,xPWM,pendulumYAngle,xPositionError,angleXp,angleXi,angleXd,setAngleXOut
1339076.612,-80.0,-1551.0,500.0,-350.0,0.0,-6.647027492523193,-356.0,-255.0,0.0,0.0,9.039999961853027,0.0,0.0005412001046352088,9.0
1339078.59,-80.0,-1554.0,500.0,-350.0,0.0,-6.647027492523193,-356.0,-255.0,-1.0,0.0,9.039999961853027,0.0,0.0005412001046352088,9.0
1339080.59,-80.0,-1551.0,500.0,-350.0,0.0,-6.647027492523193,-356.0,-255.0,-1.0,0.0,9.039999961853027,0.0,0.0005412001046352088,9.0
1339082.59,-80.0,-1553.0,500.0,-350.0,0.0,-6.647027492523193,-356.0,-255.0,-3.0,0.0,9.039999961853027,0.0,0.0005412001046352088,9.0
1339084.59,-80.0,-1551.0,500.0,-350.0,0.0,-6.647027492523193,-356.0,-255.0,0.0,0.0,9.039999961853027,0.0,0.0005412001046352088,9.0
1339086.848,-80.0,-1557.0,500.0,-350.0,0.0,-6.647027492523193,-356.0,-255.0,-2.0,0.0,9.039999961853027,0.0,0.0005412001046352088,9.0
1339088.59,-80.0,-1554.0,500.0,-350.0,0.0,-6.647027492523193,-356.0,-255.0,-1.0,0.0,9.039999961853027,0.0,0.0005412001046352088,9.0
1339090.591,-80.0,-1553.0,500.0,-350.0,0.0,-6.647027492523193,-356.0,-255.0,-4.0,0.0,9.039999961853027,0.0,0.0005412001046352088,9.0
1339092.59,-80.0,-1553.0,500.0,-350.0,0.0,-6.647027492523193,-356.0,-255.0,-1.0,0.0,9.039999961853027,0.0,0.0005412001046352088,9.0
1339094.59,-80.0,-1548.0,500.0,-350.0,0.0,-6.647027492523193,-356.0,-255.0,-3.0,0.0,9.039999961853027,0.0,0.0005412001046352088,9.0
1339096.686,-80.0,-1554.0,500.0,-350.0,0.0,-6.647027492523193,-356.0,-255.0,-1.0,0.0,9.039999961853027,0.0,0.0005412001046352088,9.0
1339098.59,-80.0,-1553.0,500.0,-350.0,0.0,-6.647027492523193,-356.0,-255.0,-1.0,0.0,9.039999961853027,0.0,0.0005412001046352088,9.0
1339100.59,-80.0,-1552.0,500.0,-350.0,0.0,-6.647027492523193,-356.0,-255.0,-4.0,0.0,9.039999961853027,0.0,0.0005412001046352088,9.0
1339102.591,-80.0,-1554.0,500.0,-350.0,0.0,-6.647027492523193,-356.0,-255.0,1.0,0.0,9.039999961853027,0.0,0.0005412001046352088,9.0
1339104.59,-80.0,-1552.0,500.0,-350.0,0.0,-6.647027492523193,-356.0,-255.0,-2.0,0.0,9.039999961853027,0.0,0.0005412001046352088,9.0
1339106.681,-80.0,-1552.0,500.0,-350.0,0.0,-6.647027492523193,-356.0,-255.0,0.0,0.0,9.039999961853027,0.0,0.0005412001046352088,9.0
1339108.59,-80.0,-1554.0,500.0,-350.0,0.0,-6.647027492523193,-356.0,-255.0,-1.0,0.0,9.039999961853027,0.0,0.0005412001046352088,9.0
1339110.591,-80.0,-1553.0,500.0,-350.0,0.0,-6.647027492523193,-356.0,-255.0,-3.0,0.0,9.039999961853027,0.0,0.0005412001046352088,9.0
1339112.59,-80.0,-1552.0,500.0,-350.0,0.0,-6.647027492523193,-356.0,-255.0,-1.0,0.0,9.039999961853027,0.0,0.0005412001046352088,9.0
1339114.59,-80.0,-1553.0,500.0,-350.0,0.0,-6.647027492523193,-356.0,-255.0,0.0,0.0,9.039999961853027,0.0,0.0005412001046352088,9.0
1339116.683,-80.0,-1553.0,500.0,-350.0,0.0,-6.647027492523193,-356.0,-255.0,-5.0,0.0,9.039999961853027,0.0,0.0005412001046352088,9.0
1339118.59,-80.0,-1553.0,500.0,-350.0,0.0,-6.647027492523193,-356.0,-255.0,-2.0,0.0,9.039999961853027,0.0,0.0005412001046352088,9.0
1339120.59,-80.0,-1553.0,500.0,-350.0,0.0,-6.647027492523193,-356.0,-255.0,-2.0,0.0,9.039999961853027,0.0,0.0005412001046352088,9.0
1339122.59,-80.0,-1551.0,500.0,-350.0,0.0,-6.647027492523193,-356.0,-255.0,-4.0,0.0,9.039999961853027,0.0,0.0005412001046352088,9.0
1339124.591,-80.0,-1552.0,500.0,-350.0,0.0,-6.647027492523193,-356.0,-255.0,-1.0,0.0,9.039999961853027,0.0,0.0005412001046352088,9.0
1339126.681,-80.0,-1552.0,500.0,-350.0,0.0,-6.647027492523193,-356.0,-255.0,-1.0,0.0,9.039999961853027,0.0,0.0005412001046352088,9.0
1339128.59,-80.0,-1553.0,500.0,-350.0,0.0,-6.647027492523193,-356.0,-255.0,2.0,0.0,9.039999961853027,0.0,0.0005412001046352088,9.0
