Timestamp (ms),carriageXPosition,pendulumXAngle,xAngleError,xPWMp,xPWMi,xPWMd,xPWMout,xPWM,pendulumYAngle,xPositionError,angleXp,angleXi,angleXd,setAngleXOut
2360051.684,-1835.0,-67.0,8.0,-5.599999904632568,0.0,0.4972342550754547,-5.0,-5.0,-3.0,-1835.0,-73.4000015258789,0.0,-3.581632375717163,-76.0
2360061.681,-1841.0,-66.0,12.0,-8.399999618530273,0.0,-4.476682662963867,-12.0,-12.0,-5.0,-1841.0,-73.63999938964844,0.0,-3.5583231449127197,-77.0
2360071.682,-1851.0,-66.0,10.0,-7.0,0.0,-0.2637152373790741,-7.0,-7.0,-3.0,-1851.0,-74.04000091552734,0.0,-5.022082805633545,-79.0
2360081.681,-1868.0,-77.0,8.0,-5.599999904632568,0.0,0.880667507648468,-4.0,-4.0,-5.0,-1868.0,-74.72000122070312,0.0,-8.025205612182617,-82.0
2360091.682,-1885.0,-82.0,-1.0,0.699999988079071,0.0,4.9691619873046875,5.0,5.0,0.0,-1885.0,-75.4000015258789,0.0,-9.151859283447266,-84.0
2360099.591,-1894.0,-85.0,-4.0,2.799999952316284,0.0,2.1610803604125977,4.0,4.0,-2.0,-1894.0,-75.75999450683594,0.0,-6.9275312423706055,-82.0
2360111.682,-1895.0,-87.0,-2.0,1.399999976158142,0.0,-2.195798635482788,0.0,0.0,-1.0,-1895.0,-75.79999542236328,0.0,-3.255584955215454,-79.0
2360121.681,-1891.0,-78.0,-1.0,0.699999988079071,0.0,-2.032896041870117,-1.0,-1.0,-2.0,-1891.0,-75.63999938964844,0.0,-0.055822353810071945,-75.0
2360131.683,-1888.0,-75.0,-2.0,1.399999976158142,0.0,2.587912082672119,3.0,3.0,-3.0,-1888.0,-75.5199966430664,0.0,1.007564902305603,-74.0
2360141.681,-1888.0,-70.0,5.0,-3.5,0.0,-1.702601671218872,-5.0,-5.0,-3.0,-1888.0,-75.5199966430664,0.0,0.4376746416091919,-75.0
2360151.683,-1890.0,-69.0,5.0,-3.5,0.0,0.6608677506446838,-2.0,-2.0,-5.0,-1890.0,-75.5999984741211,0.0,-0.5678381323814392,-76.0
2360161.681,-1895.0,-65.0,8.0,-5.599999904632568,0.0,0.42529362440109253,-5.0,-5.0,-3.0,-1895.0,-75.79999542236328,0.0,-1.9944905042648315,-77.0
2360171.682,-1901.0,-68.0,12.0,-8.399999618530273,0.0,-2.6706838607788086,-11.0,-11.0,-5.0,-1901.0,-76.04000091552734,0.0,-2.8307840824127197,-78.0
2360181.681,-1910.0,-72.0,7.0,-4.900000095367432,0.0,1.123066782951355,-3.0,-3.0,-1.0,-1910.0,-76.4000015258789,0.0,-4.217056751251221,-80.0
2360191.683,-1915.0,-72.0,5.0,-3.5,0.0,0.791010856628418,-2.0,-2.0,-3.0,-1915.0,-76.5999984741211,0.0,-3.4776816368103027,-80.0
2360201.681,-1918.0,-71.0,3.0,-2.0999999046325684,0.0,1.1043275594711304,0.0,0.0,-4.0,-1918.0,-76.72000122070312,0.0,-2.4346249103546143,-79.0
2360211.682,-1919.0,-74.0,7.0,-4.900000095367432,0.0,-2.1641407012939453,-7.0,-7.0,-4.0,-1919.0,-76.75999450683594,0.0,-1.537572979927063,-78.0
2360221.681,-1922.0,-72.0,4.0,-2.799999952316284,0.0,1.1964894533157349,-1.0,-1.0,-2.0,-1922.0,-76.87999725341797,0.0,-1.7743242979049683,-78.0
2360231.683,-1924.0,-75.0,2.0,-1.399999976158142,0.0,4.311607360839844,2.0,2.0,-3.0,-1924.0,-76.95999908447266,0.0,-1.5287050008773804,-78.0
2360241.681,-1925.0,-70.0,6.0,-4.199999809265137,0.0,-2.330781936645508,-6.0,-6.0,-2.0,-1924.0,-76.95999908447266,0.0,-0.66405189037323,-77.0
2360251.683,-1926.0,-73.0,5.0,-3.5,0.0,-0.2745392918586731,-3.0,-3.0,-3.0,-1926.0,-77.04000091552734,0.0,-0.8314530253410339,-77.0
2360261.681,-1927.0,-72.0,7.0,-4.900000095367432,0.0,-1.9836771488189697,-6.0,-6.0,-1.0,-1927.0,-77.08000183105469,0.0,-0.6522239446640015,-77.0
