Timestamp (ms),carriageXPosition,pendulumXAngle,xAngleError,xPWMp,xPWMi,xPWMd,xPWMout,xPWM,xPositionError,angleXp,angleXi,angleXd,setAngleXOut,carriageYPosition,pendulumYAngle,yAngleError,yPWMp,yPWMi,yPWMd,yWMout,yPWM,yPositionError,angleYp,angleYi,angleYd,setAngleYOut
528758.983,37.0,37.0,34.0,-23.68453025817871,0.0,-1.3579292297363281,-25.0,-25.0,37.0,0.22200000286102295,3.829190492630005,-5.82606921758458e-15,4.0,27.0,-77.0,-73.0,-45.82803726196289,0.0,0.32634082436561584,-45.0,-45.0,-27.0,-0.4050000011920929,-2.8660643100738525,4.391225474605423e-14,-3.0
528768.99,37.0,35.0,31.0,-23.17014503479004,0.0,1.8633136749267578,-21.0,-21.0,37.0,0.22200000286102295,3.830190420150757,-5.320997870696944e-15,4.0,27.0,-75.0,-74.0,-46.083248138427734,0.0,-0.3104879558086395,-46.0,-46.0,-27.0,-0.4050000011920929,-2.866793632507324,4.010543118307744e-14,-3.0
528789.889,37.0,32.0,27.0,-21.257564544677734,0.0,4.107147693634033,-17.0,-17.0,37.0,0.22200000286102295,3.8325231075286865,-4.306260870215765e-15,4.0,27.0,-78.0,-72.0,-45.8056640625,0.0,1.1895520687103271,-44.0,-44.0,-27.0,-0.4050000011920929,-2.8684959411621094,3.245716073837189e-14,-3.0
528799.885,37.0,31.0,24.0,-19.624164581298828,0.0,5.515441417694092,-14.0,-14.0,37.0,0.22200000286102295,3.8336894512176514,-3.8739496534972735e-15,4.0,27.0,-76.0,-72.0,-45.609596252441406,0.0,0.9848858714103699,-44.0,-44.0,-27.0,-0.4050000011920929,-2.869346857070923,2.9198746963029e-14,-3.0
528818.983,37.0,32.0,26.0,-18.861251831054688,0.0,0.623390257358551,-18.0,-18.0,37.0,0.22200000286102295,3.835855722427368,-3.1829158229299817e-15,4.0,27.0,-78.0,-71.0,-45.01246643066406,0.0,1.1161555051803589,-43.0,-43.0,-27.0,-0.4050000011920929,-2.870927572250366,2.3990280383990106e-14,-3.0
528828.996,37.0,27.0,25.0,-18.3975830078125,0.0,0.9019098877906799,-17.0,-17.0,37.0,0.22200000286102295,3.837188720703125,-2.8204282849107407e-15,4.0,27.0,-77.0,-72.0,-45.38896942138672,0.0,0.5802507996559143,-44.0,-44.0,-27.0,-0.4050000011920929,-2.8719000816345215,2.125813834317168e-14,-3.0
528849.885,37.0,27.0,21.0,-15.769988059997559,0.0,2.2386956214904785,-13.0,-13.0,37.0,0.22200000286102295,3.8391880989074707,-2.3526100823180593e-15,4.0,27.0,-75.0,-72.0,-45.10398864746094,0.0,0.2885909676551819,-44.0,-44.0,-27.0,-0.4050000011920929,-2.873359203338623,1.773209434374843e-14,-3.0
528859.885,37.0,24.0,17.0,-14.305549621582031,0.0,5.2209272384643555,-9.0,-9.0,37.0,0.22200000286102295,3.8403544425964355,-2.1164287092615905e-15,4.0,27.0,-74.0,-72.0,-45.3619270324707,0.0,0.49555155634880066,-44.0,-44.0,-27.0,-0.4050000011920929,-2.8742101192474365,1.595194618487627e-14,-3.0
528878.983,37.0,20.0,17.0,-13.174433708190918,0.0,2.567230463027954,-10.0,-10.0,37.0,0.22200000286102295,3.8425207138061523,-1.7389005130770733e-15,4.0,27.0,-76.0,-73.0,-45.16904067993164,0.0,-0.7211660146713257,-45.0,-45.0,-27.0,-0.4050000011920929,-2.87579083442688,1.3106440642529117e-14,-3.0
528888.988,37.0,17.0,12.0,-11.273455619812012,0.0,6.418190956115723,-4.0,-4.0,37.0,0.22200000286102295,3.843520402908325,-1.588152365388331e-15,4.0,27.0,-76.0,-70.0,-44.75981903076172,0.0,1.5912060737609863,-43.0,-43.0,-27.0,-0.4050000011920929,-2.8765203952789307,1.1970222176752726e-14,-3.0
528909.886,37.0,16.0,10.0,-9.443216323852539,0.0,5.314075469970703,-4.0,-4.0,37.0,0.22200000286102295,3.845853090286255,-1.2852852530648336e-15,4.0,27.0,-72.0,-70.0,-44.31660842895508,0.0,0.9658997654914856,-43.0,-43.0,-27.0,-0.4050000011920929,-2.8782224655151367,9.687452290276389e-15,-3.0
