Timestamp (ms),carriageXPosition,pendulumXAngle,xAngleError,xPWMp,xPWMi,xPWMd,xPWMout,xPWM,xPositionError,angleXp,angleXi,angleXd,setAngleXOut,carriageYPosition,pendulumYAngle,yAngleError,yPWMp,yPWMi,yPWMd,yWMout,yPWM,yPositionError,angleYp,angleYi,angleYd,setAngleYOut
1058551.876,0.0,2.0,2.0,-0.945504367351532,0.0,-0.6857432126998901,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-1.8245723247528076,0.0,-2.2123382091522217,-4.0,-4.0,0.0,0.0,0.0,0.0,0.0
1058561.878,0.0,1.0,5.0,-1.532253384590149,0.0,-3.316917896270752,-4.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-1.0,-1.168596625328064,0.0,0.7210828065872192,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1058580.962,0.0,3.0,1.0,-0.5027283430099487,0.0,-0.13900825381278992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-2.0,-0.8873823881149292,0.0,-0.2689274847507477,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
1058590.964,0.0,-1.0,5.0,-1.0014811754226685,0.0,-3.971597194671631,-4.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-5.0,-1.1704607009887695,0.0,-2.1825430393218994,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0
1058611.869,0.0,-3.0,0.0,-0.8673098683357239,0.0,1.2970010042190552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,1.0,-1.206100344657898,0.0,1.989580512046814,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1058621.87,0.0,0.0,-1.0,-0.3710596561431885,0.0,1.799056053161621,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-3.0,-1.5505502223968506,0.0,-0.43940556049346924,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
1058640.962,0.0,1.0,2.0,-1.3337135314941406,0.0,-0.39940083026885986,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-3.0,-1.820302128791809,0.0,-0.15781976282596588,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
1058650.963,0.0,1.0,2.0,-1.1198495626449585,0.0,-0.5500053763389587,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-2.0,-1.5980461835861206,0.0,0.3768421411514282,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
1058671.869,0.0,0.0,2.0,-1.0484178066253662,0.0,-0.6173146963119507,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-1.2316559553146362,0.0,0.7645823955535889,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1058681.877,0.0,2.0,2.0,-0.9702353477478027,0.0,-0.6954243779182434,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-1.0,-1.1523009538650513,0.0,0.6831095814704895,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1058700.962,0.0,0.0,2.0,-0.9370710849761963,0.0,-0.7410786151885986,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-2.0,-1.147260069847107,0.0,-0.05265551060438156,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
