Timestamp (ms),carriageXPosition,pendulumXAngle,xAngleError,xPWMp,xPWMi,xPWMd,xPWMout,xPWM,pendulumYAngle,xPositionError,angleXp,angleXi,angleXd,setAngleXOut
0.0,3227.0,2064.0,2064.0,-247.67999267578125,6.363083329132417e-39,6.337007967308261e-39,9.946155508252822e-27,1.795085473315827e-38,1.1754943508222875e-38,0.0,1.7950610907225477e-38,0.0,1.775868906955155e-38,0.0
107609.016,-8.0,95.0,95.0,-5.699999809265137,-0.0,0.0,-5.0,-5.0,0.0,-8.0,-0.0,-0.0,0.0,0.0
107620.016,-8.0,94.0,94.0,-5.639999866485596,-0.0,0.0,-5.0,-5.0,0.0,-8.0,-0.0,-0.0,0.0,0.0
107631.113,-8.0,95.0,95.0,-5.699999809265137,-0.0,0.0,-5.0,-5.0,0.0,-8.0,-0.0,-0.0,0.0,0.0
107642.117,-8.0,95.0,95.0,-5.699999809265137,-0.0,0.0,-5.0,-5.0,0.0,-8.0,-0.0,-0.0,0.0,0.0
107653.073,-8.0,93.0,93.0,-5.579999923706055,-0.0,0.0,-5.0,-5.0,-2.0,-8.0,-0.0,-0.0,0.0,0.0
107664.113,-8.0,91.0,91.0,-5.460000038146973,-0.0,0.0,-5.0,-5.0,-3.0,-8.0,-0.0,-0.0,0.0,0.0
107675.117,-8.0,92.0,92.0,-5.519999980926514,-0.0,0.0,-5.0,-5.0,-3.0,-8.0,-0.0,-0.0,0.0,0.0
107686.338,-8.0,94.0,94.0,-5.639999866485596,-0.0,0.0,-5.0,-5.0,-2.0,-8.0,-0.0,-0.0,0.0,0.0
107696.347,-8.0,93.0,93.0,-5.579999923706055,-0.0,0.0,-5.0,-5.0,-1.0,-8.0,-0.0,-0.0,0.0,0.0
107706.355,-8.0,93.0,93.0,-5.579999923706055,-0.0,0.0,-5.0,-5.0,-1.0,-8.0,-0.0,-0.0,0.0,0.0
107717.4,-8.0,93.0,93.0,-5.579999923706055,-0.0,0.0,-5.0,-5.0,-2.0,-8.0,-0.0,-0.0,0.0,0.0
107727.4,-8.0,93.0,93.0,-5.579999923706055,-0.0,0.0,-5.0,-5.0,-2.0,-8.0,-0.0,-0.0,0.0,0.0
107737.409,-8.0,93.0,93.0,-5.579999923706055,-0.0,0.0,-5.0,-5.0,-2.0,-8.0,-0.0,-0.0,0.0,0.0
107747.409,-8.0,95.0,95.0,-5.699999809265137,-0.0,0.0,-5.0,-5.0,-1.0,-8.0,-0.0,-0.0,0.0,0.0
107758.113,-8.0,96.0,96.0,-5.759999752044678,-0.0,0.0,-5.0,-5.0,-1.0,-8.0,-0.0,-0.0,0.0,0.0
107768.122,-8.0,94.0,94.0,-5.639999866485596,-0.0,0.0,-5.0,-5.0,-1.0,-8.0,-0.0,-0.0,0.0,0.0
107778.122,-8.0,93.0,93.0,-5.579999923706055,-0.0,0.0,-5.0,-5.0,-2.0,-8.0,-0.0,-0.0,0.0,0.0
107789.113,-8.0,95.0,95.0,-5.699999809265137,-0.0,0.0,-5.0,-5.0,-1.0,-8.0,-0.0,-0.0,0.0,0.0
107799.121,-8.0,93.0,93.0,-5.579999923706055,-0.0,0.0,-5.0,-5.0,-3.0,-8.0,-0.0,-0.0,0.0,0.0
107810.073,-8.0,91.0,91.0,-5.460000038146973,-0.0,0.0,-5.0,-5.0,-2.0,-8.0,-0.0,-0.0,0.0,0.0
107821.113,-8.0,93.0,93.0,-5.579999923706055,-0.0,0.0,-5.0,-5.0,0.0,-8.0,-0.0,-0.0,0.0,0.0
107831.122,-8.0,94.0,94.0,-5.639999866485596,-0.0,0.0,-5.0,-5.0,-4.0,-8.0,-0.0,-0.0,0.0,0.0
107841.931,-8.0,94.0,94.0,-5.639999866485596,-0.0,0.0,-5.0,-5.0,-4.0,-8.0,-0.0,-0.0,0.0,0.0
107851.939,-8.0,95.0,95.0,-5.699999809265137,-0.0,0.0,-5.0,-5.0,-1.0,-8.0,-0.0,-0.0,0.0,0.0
107861.947,-8.0,93.0,93.0,-5.579999923706055,-0.0,0.0,-5.0,-5.0,-1.0,-8.0,-0.0,-0.0,0.0,0.0
107871.956,-8.0,92.0,92.0,-5.519999980926514,-0.0,0.0,-5.0,-5.0,-2.0,-8.0,-0.0,-0.0,0.0,0.0
107882.113,-8.0,93.0,93.0,-5.579999923706055,-0.0,0.0,-5.0,-5.0,-2.0,-8.0,-0.0,-0.0,0.0,0.0
107893.113,-8.0,94.0,94.0,-5.639999866485596,-0.0,0.0,-5.0,-5.0,-1.0,-8.0,-0.0,-0.0,0.0,0.0
107903.121,-8.0,93.0,93.0,-5.579999923706055,-0.0,0.0,-5.0,-5.0,-1.0,-8.0,-0.0,-0.0,0.0,0.0
107914.113,-8.0,97.0,97.0,-5.819999694824219,-0.0,0.0,-5.0,-5.0,-1.0,-8.0,-0.0,-0.0,0.0,0.0
107924.122,-8.0,94.0,94.0,-5.639999866485596,-0.0,0.0,-5.0,-5.0,-2.0,-8.0,-0.0,-0.0,0.0,0.0
107934.131,-8.0,95.0,95.0,-5.699999809265137,-0.0,0.0,-5.0,-5.0,-4.0,-8.0,-0.0,-0.0,0.0,0.0
107944.905,-8.0,93.0,93.0,-5.579999923706055,-0.0,0.0,-5.0,-5.0,1.0,-8.0,-0.0,-0.0,0.0,0.0
107955.113,-8.0,95.0,95.0,-5.699999809265137,-0.0,0.0,-5.0,-5.0,-1.0,-8.0,-0.0,-0.0,0.0,0.0
107965.122,-8.0,92.0,92.0,-5.519999980926514,-0.0,0.0,-5.0,-5.0,-1.0,-8.0,-0.0,-0.0,0.0,0.0
107975.131,-8.0,96.0,96.0,-5.759999752044678,-0.0,0.0,-5.0,-5.0,-1.0,-8.0,-0.0,-0.0,0.0,0.0
107986.113,-8.0,93.0,93.0,-5.579999923706055,-0.0,0.0,-5.0,-5.0,-1.0,-8.0,-0.0,-0.0,0.0,0.0
107996.122,-8.0,97.0,97.0,-5.819999694824219,-0.0,0.0,-5.0,-5.0,-1.0,-8.0,-0.0,-0.0,0.0,0.0
