Timestamp (ms),carriageXPosition,pendulumXAngle,xAngleError,xPWMp,xPWMi,xPWMd,xPWMout,xPWM
1155641.187,3249.0,3218.0,-3218.0,-643.6000366210938,-0.0,0.0,-643.0,0.0
1155652.186,3249.0,3218.0,-3218.0,-643.6000366210938,-0.0,0.0,-643.0,0.0
1155662.187,3249.0,3218.0,-3218.0,-643.6000366210938,-0.0,0.0,-643.0,0.0
1155673.182,3249.0,3218.0,-3218.0,-643.6000366210938,-0.0,0.0,-643.0,0.0
1155684.264,3249.0,3218.0,-3218.0,-643.6000366210938,-0.0,0.0,-643.0,0.0
1155694.264,3249.0,3218.0,-3218.0,-643.6000366210938,-0.0,0.0,-643.0,0.0
1155705.19,3249.0,3218.0,-3218.0,-643.6000366210938,-0.0,0.0,-643.0,0.0
1155716.186,3249.0,3218.0,-3218.0,-643.6000366210938,-0.0,0.0,-643.0,0.0
1155726.187,3249.0,3218.0,-3218.0,-643.6000366210938,-0.0,0.0,-643.0,0.0
1155736.187,3249.0,3218.0,-3218.0,-643.6000366210938,-0.0,0.0,-643.0,0.0
1155747.111,3249.0,3218.0,-3218.0,-643.6000366210938,-0.0,0.0,-643.0,0.0
1155757.559,3249.0,3218.0,-3218.0,-643.6000366210938,-0.0,0.0,-643.0,0.0
1155767.559,3249.0,3218.0,-3218.0,-643.6000366210938,-0.0,0.0,-643.0,0.0
1155777.56,3249.0,3218.0,-3218.0,-643.6000366210938,-0.0,0.0,-643.0,0.0
1155787.561,3249.0,3218.0,-3218.0,-643.6000366210938,-0.0,0.0,-643.0,0.0
1155798.182,3249.0,3218.0,-3218.0,-643.6000366210938,-0.0,0.0,-643.0,0.0
1155809.053,3249.0,3218.0,-3218.0,-643.6000366210938,-0.0,0.0,-643.0,0.0
1155819.385,3249.0,3218.0,-3218.0,-643.6000366210938,-0.0,0.0,-643.0,0.0
1155829.386,3249.0,3218.0,-3218.0,-643.6000366210938,-0.0,0.0,-643.0,0.0
1155840.186,3249.0,3218.0,-3218.0,-643.6000366210938,-0.0,0.0,-643.0,0.0
1155850.187,3249.0,3218.0,-3218.0,-643.6000366210938,-0.0,0.0,-643.0,0.0
